bookno,Title,Author,Language
27200.txt, Fairy Tales of Hans Christian Andersen, Hans Christian Andersen, English
9055.txt, Bad Medicine, Robert Sheckley, English
23099.txt, The Fourth Invasion, Henry Josephs, English
27374-8.txt, A Young Man in a Hurry, Robert W. Chambers, English
1429-0.txt, The Garden Party, Katherine Mansfield, English
22218.txt, The Street That Wasn't There, Clifford Donald Simak, English
1596.txt, Smoke Bellew, Jack London, English
31516.txt, The Eyes Have It, Philip Kindred Dick, English
28047.txt, Strange Alliance, Bryce Walton, English
3192-0.txt, The Curious Republic of Gondour and Other Whimsical Sketches, Mark Twain (Samuel Clemens), English
572.txt, The Great Big Treasury of Beatrix Potter, Beatrix Potter, English
32209.txt, Assignment's End, Roger Dee, English
58991.txt, Inhibition, James Causey, English
33842.txt, By Earthlight, Bryce Walton, English
32584.txt, The Secret of Kralitz, Henry Kuttner, English
22967.txt, The Stoker and the Stars, Algirdas Jonas Budrys (AKA John A. Sentry), English
51751.txt," Oh, Rats!", Miriam Allen deFord, English
51037.txt, Second Childhood, Clifford D. Simak, English
33634-8.txt, The Night Operator, Frank L. Packard, English
2327-8.txt, Some Short Stories, Henry James, English
17860-8.txt, Stories from Hans Andersen, Hans Christian Andersen, English
2334-0.txt, The Works of Rudyard Kipling: One Volume Edition, Rudyard Kipling, English
55219-8.txt, The Prose Tales of Alexander Pushkin, Alexander Pushkin, English
32592.txt, Let There Be Light, Horace Brown Fyfe, English
33854.txt, Ask a Foolish Question, Robert Sheckley, English
32579.txt, Micro-Man, Forrest James Ackerman, English
2035-0.txt, Stories by English Authors: Orient, Various, English
29159.txt, Acid Bath, Vaseleos Garson, English
32551.txt, Big Stupe, Charles V. De Vet, English
32845-8.txt, International Short Stories, Various, English
51545.txt, The Sweeper of Loray, Finn O'Donnevan, English
12459-8.txt, Contes et posies de Prosper Jourdan: 1854-1866, Prosper Jourdan, French
32784.txt, The Dark Goddess, Richard Sharpe Shaver, English
23104.txt, The Blue Tower, Evelyn E. Smith, English
12758-8.txt, Library of the World's Best Mystery and Detective Stories, Edited by Julian Hawthorne, English
54109-0.txt, Round the Fire Stories, Arthur Conan Doyle, English
50868.txt, The Highest Mountain, Bryce Walton, English
28042-8.txt, Die Leute von Seldwyla -- Band 2, Gottfried Keller, German
3251-0.txt, The Man That Corrupted Hadleyburg and Other Stories, Mark Twain (Samuel Clemens), English
25549-8.txt, A Chosen Few, Frank R. Stockton, English
28643.txt, Belly Laugh, Gordon Randall Garrett, English
2150-0.txt, The Works of Edgar Allan Poe, Edgar Allan Poe, English
51380.txt, Time In the Round, Fritz Leiber, English
28119.txt," My Father, the Cat", Henry Slesar, English
21897.txt, An Incident on Route 12, James H. Schmitz, English
32633.txt, Time Enough at Last, Lyn Venable, English
31308-8.txt, Orientations, William Somerset Maugham, English
14744-8.txt, Different Girls, Various, English
24230-0.txt, Jin Gu Chi Guan, Lao Ren Bao Weng, Chinese
30583.txt, The Asses of Balaam, Gordon Randall Garrett, English
4038-8.txt, Imaginary Portraits, Walter Horatio Pater, English
27722-8.txt," Masterpieces of Mystery, Vol. 1 (of 4)", Various, English
23942-8.txt, Unborn Tomorrow, Dallas McCord Reynolds, English
410.txt, 'Hell fer Sartain' and Other Stories," John Fox, Jr.", English
24521.txt, In Case of Fire, Gordon Randall Garrett, English
23669-8.txt, Summit, Dallas McCord Reynolds, English
307-0.txt, Three Elephant Power, Andrew Barton 'Banjo' Paterson, English
24247.txt, Gun for Hire, Dallas McCord Reynolds, English
52549-8.txt, Bloemensprookjes van Tante Jo, Louisa May Alcott, Dutch
59285.txt, Until Life Do Us Part, Winston Marks, English
31754-0.txt, Devil Stories, Various, English
57402-8.txt, The Watcher by the Threshold, John Buchan, English
14115-8.txt, Quatre contes de Prosper Mrime, F. C. L. Van Steenderen, French / English
10736-8.txt, Children of the Frost, Jack London, English
15734-0.txt, Aus Kroatien, Arthur Achleitner, German
51168.txt, Operation Distress, Lester del Rey, English
11437-8.txt," Stories by American Authors, Volume 5", Various, English
556-0.txt, Rewards and Fairies, Rudyard Kipling, English
51256-8.txt, The Cool War, Andrew Fetler, English
3400-0.txt, Entire PG Edition of William Dean Howells, William Dean Howells, English
29206.txt, Happy Ending, Fredric Brown, English
29548.txt, Warrior Race, Robert Sheckley, English
30700-8.txt, The Works of Robert Louis Stevenson - Swanston Edition Vol. 4 (of 25), Robert Louis Stevenson, English
50921.txt," $1,000 A Plate", Jack McKenty, English
50103-0.txt, The Dwindling Years, Lester Del Rey, English
23930.txt, Beyond Pandora, Robert J. Martin, English
1477-0.txt, The Toys of Peace, Saki, English
32777-8.txt, The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen, Sir Arthur Conan Doyle, English
8727-0.txt, The Last Galley, Arthur Conan Doyle, English
22227.txt, The 4-D Doodler, Graph Waldeyer, English
22480-0.txt, The Prussian Officer and Other Stories, D. H. Lawrence, English
3688-8.txt, The Chronicles of Clovis, Saki, English
24118.txt," We Didn't Do Anything Wrong, Hardly", Roger Kuykendall, English
40108-8.txt, Tales of Secret Egypt, Sax Rohmer, English
56797-0.txt, The Invaders and other Stories, Leo Tolstoy, English
46650-0.txt, Bayou Folk, Kate Chopin, English
57850-8.txt, Amok, Stefan Zweig, German
1980-0.txt, Stories by English Authors: Africa, Various, English
51008.txt, Two Weeks in August, Frank M. Robinson, English
22958.txt, One-Shot, James Benjamin Blish, English
20831-8.txt, Short Stories of Various Types, Various, English
51752.txt, If You Was A Moklin, Murray Leinster, English
36638-8.txt, A Book of Ghosts, Sabine Baring-Gould, English
865-0.txt, Passing of the Third Floor Back, Jerome K. Jerome, English
11596-8.txt, La Maison Tellier, Guy de Maupassant, French
29553-8.txt, Bunte Steine, Adalbert Stifter, German
56878-0.txt, First love and other stories, Iván Turgénieff, English
18342.txt, The Answer, Henry Beam Piper, English
26521.txt, Earthmen Bearing Gifts, Fredric Brown, English
52751-8.txt, Keltakukkia, Ari Aalto, Finnish
30029-8.txt, Lost in Translation, Larry M. Harris, English
3090-0.txt," Maupassant Original Short Stories (180), Complete", Guy de Maupassant, English
3806.txt, A Modern Cinderella, Louisa May Alcott, English
54761-0.txt, Children of Men, Rudolph Edgar Block, English
51107-0.txt, Woman and Puppet, Pierre Louÿs, English
23868.txt, Vanishing Point, C.C. Beck, English
1552.txt,The Most Interesting Stories of All Nations,Julian Hawthorne,English
1944-0.txt, The Witch and Other Stories, Anton Chekhov, English
